ID Product Price Quantity
1 maggi 12 45276
2 Toor_dal 120 2
3 Oil 152 149
4 toothpaste 100 21
5 pedigree 100 250
6 winkies 250 300
7 santoor 25 300
8 cycle_agrbathi 30 1000
9 wheel 82 1000
10 annapurna_atta 52 250
11 raghuveer -999 1
12 dettol 30 100
13 bisleri 20 1000
14 chilli_powder 250 100
15 tata_salt 20 199
16 ragi_flour 25 300
17 milk 24 60
18 curd 23 50
19 turmeric 20 200
20 garam_masala 20 200
21 chat_masala 30 300
22 jaljeera 40 200
23 everest_tikhalal 50 200
24 CIE2_leaked_paper 30 20
25 harpic 50 30
